combo,tails,circuits,max_tail,max_circuit,circuit_lengths,tail_lengths,edge_selection
0000000000,10946,104652,3,5,"[3, 4, 5]","{2: 8853, 1: 2092, 3: 1}",2578
0000000100,10946,66372,7,18,"[3, 4, 5, 7, 11, 14, 15, 18]","{1: 4181, 3: 1598, 2: 4675, 7: 492}",2578
0000001000,10946,76678,8,11,"[3, 4, 7, 8, 9, 10, 11]","{2: 4977, 3: 1293, 1: 3385, 7: 986, 6: 304, 8: 1}",2578
0000001100,10946,38398,2797,5688,"[3, 4, 8, 10, 21, 30, 65, 103, 182, 331, 606, 983, 1957, 3363, 5688]","{1: 5474, 3: 2890, 19: 376, 2: 1291, 7: 495, 57: 89, 16: 233, 332: 21, 95: 55, 1738: 5, 472: 13, 2797: 3, 20: 1}",2578
0000100000,10946,81719,5,9,"[3, 4, 5, 6, 9]","{2: 7256, 5: 1597, 1: 2092, 3: 1}",2578
0000100100,10946,43439,7,24,"[4, 5, 13, 14, 15, 23, 24]","{1: 4181, 6: 1597, 2: 4675, 7: 492, 3: 1}",2578
0000101000,10946,53745,10,14,"[3, 4, 6, 9, 10, 11, 13, 14]","{2: 3380, 10: 987, 3: 1293, 1: 3385, 7: 986, 5: 610, 6: 304, 8: 1}",2578
0000101100,10946,15465,29775,4,"[3, 4]","{1: 5474, 11: 987, 3: 1293, 19: 376, 2: 1291, 7: 495, 6: 610, 483: 55, 105: 232, 524: 21, 122: 55, 459: 33, 29775: 3, 6376: 12, 6576: 3, 29568: 1, 29480: 1, 6281: 1, 453: 1, 92: 1, 20: 1}",2578
0001000000,10946,81719,3,8,"[3, 4, 5, 8]","{2: 8853, 1: 2092, 3: 1}",2578
0001000100,10946,43439,7,18,"[4, 5, 7, 8, 11, 14, 15, 18]","{1: 4181, 3: 1598, 2: 4675, 7: 492}",2578
0001001000,10946,53745,18,30,"[3, 4, 9, 21, 26, 30]","{2: 4977, 3: 1293, 1: 3385, 18: 986, 6: 304, 16: 1}",2578
0001001100,10946,15465,50584,4,"[3, 4]","{1: 5474, 3: 2890, 79: 322, 2: 1291, 18: 495, 16: 233, 77: 143, 3805: 13, 820: 67, 3809: 5, 3801: 7, 50573: 1, 50584: 2, 3802: 1, 817: 1, 76: 1}",2578
